Per-epoch status lines (alpha/tau/alive_hard/guards/time):
Epoch 187: Current Alpha: 1.0602, Tau: 2.3129, Alive(hard): 0.448, guards=0, time=1.35s
Epoch 188: Current Alpha: 1.0561, Tau: 2.3063, Alive(hard): 0.450, guards=0, time=1.35s
Epoch 189: Current Alpha: 1.0519, Tau: 2.2998, Alive(hard): 0.450, guards=0, time=1.36s
Epoch 190: Current Alpha: 1.0477, Tau: 2.2932, Alive(hard): 0.451, guards=0, time=1.34s
Epoch 191: Current Alpha: 1.0434, Tau: 2.2866, Alive(hard): 0.430, guards=0, time=1.87s
Epoch 192: Current Alpha: 1.0392, Tau: 2.2800, Alive(hard): 0.441, guards=0, time=1.85s
Epoch 193: Current Alpha: 1.0350, Tau: 2.2734, Alive(hard): 0.437, guards=0, time=1.87s
Epoch 194: Current Alpha: 1.0307, Tau: 2.2668, Alive(hard): 0.439, guards=0, time=1.88s
Epoch 195: Current Alpha: 1.0265, Tau: 2.2601, Alive(hard): 0.438, guards=0, time=1.88s
Epoch 196: Current Alpha: 1.0222, Tau: 2.2535, Alive(hard): 0.445, guards=0, time=1.86s
Epoch 197: Current Alpha: 1.0180, Tau: 2.2468, Alive(hard): 0.435, guards=0, time=1.85s
Epoch 198: Current Alpha: 1.0137, Tau: 2.2401, Alive(hard): 0.437, guards=0, time=1.88s
Epoch 199: Current Alpha: 1.0094, Tau: 2.2334, Alive(hard): 0.430, guards=0, time=1.89s
Epoch 200: Current Alpha: 1.0051, Tau: 2.2267, Alive(hard): 0.422, guards=0, time=1.87s
Epoch 201: Current Alpha: 1.0008, Tau: 2.2199, Alive(hard): 0.418, guards=0, time=1.88s
Epoch 202: Current Alpha: 0.9964, Tau: 2.2132, Alive(hard): 0.439, guards=0, time=1.88s
Epoch 203: Current Alpha: 0.9921, Tau: 2.2064, Alive(hard): 0.433, guards=0, time=1.88s
Epoch 204: Current Alpha: 0.9878, Tau: 2.1997, Alive(hard): 0.431, guards=0, time=1.88s
Epoch 205: Current Alpha: 0.9834, Tau: 2.1929, Alive(hard): 0.429, guards=0, time=1.89s
Epoch 206: Current Alpha: 0.9791, Tau: 2.1861, Alive(hard): 0.438, guards=0, time=1.90s
Epoch 207: Current Alpha: 0.9747, Tau: 2.1793, Alive(hard): 0.434, guards=0, time=1.88s
Epoch 208: Current Alpha: 0.9704, Tau: 2.1724, Alive(hard): 0.430, guards=0, time=1.90s
Epoch 209: Current Alpha: 0.9660, Tau: 2.1656, Alive(hard): 0.438, guards=0, time=1.90s
Epoch 210: Current Alpha: 0.9616, Tau: 2.1588, Alive(hard): 0.440, guards=0, time=1.89s
Epoch 211: Current Alpha: 0.9572, Tau: 2.1519, Alive(hard): 0.431, guards=0, time=1.89s
Epoch 212: Current Alpha: 0.9528, Tau: 2.1450, Alive(hard): 0.430, guards=0, time=1.89s
Epoch 213: Current Alpha: 0.9484, Tau: 2.1381, Alive(hard): 0.434, guards=0, time=1.87s
Epoch 214: Current Alpha: 0.9440, Tau: 2.1313, Alive(hard): 0.434, guards=0, time=1.89s
Epoch 215: Current Alpha: 0.9396, Tau: 2.1243, Alive(hard): 0.435, guards=0, time=1.89s
Epoch 216: Current Alpha: 0.9352, Tau: 2.1174, Alive(hard): 0.434, guards=0, time=1.85s
Epoch 217: Current Alpha: 0.9307, Tau: 2.1105, Alive(hard): 0.422, guards=0, time=1.87s
Epoch 218: Current Alpha: 0.9263, Tau: 2.1036, Alive(hard): 0.449, guards=0, time=1.87s
Epoch 219: Current Alpha: 0.9219, Tau: 2.0966, Alive(hard): 0.426, guards=0, time=1.88s
Epoch 220: Current Alpha: 0.9174, Tau: 2.0897, Alive(hard): 0.427, guards=0, time=1.88s
Epoch 221: Current Alpha: 0.9130, Tau: 2.0827, Alive(hard): 0.432, guards=0, time=1.87s
Epoch 222: Current Alpha: 0.9085, Tau: 2.0758, Alive(hard): 0.424, guards=0, time=1.89s
Epoch 223: Current Alpha: 0.9040, Tau: 2.0688, Alive(hard): 0.437, guards=0, time=1.88s
Epoch 224: Current Alpha: 0.8996, Tau: 2.0618, Alive(hard): 0.427, guards=0, time=1.87s
Epoch 225: Current Alpha: 0.8951, Tau: 2.0548, Alive(hard): 0.432, guards=0, time=1.88s
Epoch 226: Current Alpha: 0.8906, Tau: 2.0478, Alive(hard): 0.426, guards=0, time=1.90s
Epoch 227: Current Alpha: 0.8861, Tau: 2.0408, Alive(hard): 0.429, guards=0, time=1.86s
Epoch 228: Current Alpha: 0.8817, Tau: 2.0338, Alive(hard): 0.430, guards=0, time=1.89s
Epoch 229: Current Alpha: 0.8772, Tau: 2.0268, Alive(hard): 0.438, guards=0, time=1.87s
Epoch 230: Current Alpha: 0.8727, Tau: 2.0198, Alive(hard): 0.429, guards=0, time=1.87s
Epoch 231: Current Alpha: 0.8682, Tau: 2.0128, Alive(hard): 0.430, guards=0, time=1.90s
Epoch 232: Current Alpha: 0.8637, Tau: 2.0057, Alive(hard): 0.424, guards=0, time=1.88s
Epoch 233: Current Alpha: 0.8592, Tau: 1.9987, Alive(hard): 0.435, guards=0, time=1.88s
Epoch 234: Current Alpha: 0.8547, Tau: 1.9917, Alive(hard): 0.437, guards=0, time=1.90s
Epoch 235: Current Alpha: 0.8501, Tau: 1.9846, Alive(hard): 0.435, guards=0, time=1.87s
Epoch 236: Current Alpha: 0.8456, Tau: 1.9776, Alive(hard): 0.420, guards=0, time=1.86s
Epoch 237: Current Alpha: 0.8411, Tau: 1.9705, Alive(hard): 0.430, guards=0, time=1.87s
Epoch 238: Current Alpha: 0.8366, Tau: 1.9634, Alive(hard): 0.435, guards=0, time=1.88s
Epoch 239: Current Alpha: 0.8321, Tau: 1.9564, Alive(hard): 0.440, guards=0, time=1.93s
Epoch 240: Current Alpha: 0.8276, Tau: 1.9493, Alive(hard): 0.438, guards=0, time=1.90s
Epoch 241: Current Alpha: 0.8230, Tau: 1.9422, Alive(hard): 0.429, guards=0, time=1.88s
Epoch 242: Current Alpha: 0.8185, Tau: 1.9352, Alive(hard): 0.428, guards=0, time=1.84s
Epoch 243: Current Alpha: 0.8140, Tau: 1.9281, Alive(hard): 0.439, guards=0, time=1.90s
Epoch 244: Current Alpha: 0.8095, Tau: 1.9210, Alive(hard): 0.435, guards=0, time=1.87s
Epoch 245: Current Alpha: 0.8049, Tau: 1.9139, Alive(hard): 0.438, guards=0, time=1.84s
Epoch 246: Current Alpha: 0.8004, Tau: 1.9069, Alive(hard): 0.442, guards=0, time=1.87s
Epoch 247: Current Alpha: 0.7959, Tau: 1.8998, Alive(hard): 0.421, guards=0, time=1.89s
Epoch 248: Current Alpha: 0.7913, Tau: 1.8927, Alive(hard): 0.433, guards=0, time=1.87s
Epoch 249: Current Alpha: 0.7868, Tau: 1.8856, Alive(hard): 0.436, guards=0, time=1.88s
Epoch 250: Current Alpha: 0.7823, Tau: 1.8785, Alive(hard): 0.431, guards=0, time=1.91s
Epoch 251: Current Alpha: 0.7777, Tau: 1.8715, Alive(hard): 0.418, guards=0, time=1.87s
Epoch 252: Current Alpha: 0.7732, Tau: 1.8644, Alive(hard): 0.429, guards=0, time=1.91s
Epoch 253: Current Alpha: 0.7687, Tau: 1.8573, Alive(hard): 0.439, guards=0, time=1.91s
Epoch 254: Current Alpha: 0.7641, Tau: 1.8502, Alive(hard): 0.430, guards=0, time=1.90s
Epoch 255: Current Alpha: 0.7596, Tau: 1.8431, Alive(hard): 0.435, guards=0, time=1.88s
Epoch 256: Current Alpha: 0.7551, Tau: 1.8361, Alive(hard): 0.432, guards=0, time=1.89s
Epoch 257: Current Alpha: 0.7505, Tau: 1.8290, Alive(hard): 0.431, guards=0, time=1.90s
